
Date,Name,Year,Letterboxd URI,Rating
2023-01-02,I Want You Back,2022,https://boxd.it/poyU,3.5
2023-01-02,The Only Living Boy in New York,2017,https://boxd.it/3jRe,3
2023-01-02,The Map of Tiny Perfect Things,2021,https://boxd.it/p3O8,1.5
2023-01-03,Zoolander,2001,https://boxd.it/1YMA,5
2023-01-04,First Reformed,2017,https://boxd.it/go9C,5
2023-01-07,Glass Onion,2022,https://boxd.it/oCkK,4
2023-01-12,Molly's Game,2017,https://boxd.it/dSl8,3
2023-01-12,The Menu,2022,https://boxd.it/lScm,3.5
2023-01-14,Divergent,2014,https://boxd.it/4VT0,2
2023-01-15,Jamesy Boy,2014,https://boxd.it/6Sj8,2
2023-01-24,Zombieland,2009,https://boxd.it/1En6,4
2023-01-24,Insurgent,2015,https://boxd.it/7NNa,2
2023-02-08,Christine,2016,https://boxd.it/bhFm,4
2023-02-08,Luckiest Girl Alive,2022,https://boxd.it/u5Sw,2.5
2023-02-09,You People,2023,https://boxd.it/wJYe,1.5
2023-03-04,The King of Staten Island,2020,https://boxd.it/litG,3.5
2023-03-11,The Hangover,2009,https://boxd.it/1GjK,4
2023-03-11,The Hangover Part II,2011,https://boxd.it/PZI,3
2023-03-14,Leave No Trace,2018,https://boxd.it/fMfM,3.5
2023-03-19,Dunkirk,2017,https://boxd.it/d0Y6,4.5
2023-04-07,Nope,2022,https://boxd.it/sDCe,4
2023-05-04,John Mulaney: Baby J,2023,https://boxd.it/FlAA,5
2023-05-05,Star Wars,1977,https://boxd.it/72s,4
2023-05-05,Morbius,2022,https://boxd.it/j978,0.5
2023-05-09,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2023-05-15,Pitch Perfect 2,2015,https://boxd.it/7tNa,2
2023-05-15,Barbarian,2022,https://boxd.it/yohi,3.5
2023-05-19,Whiplash,2014,https://boxd.it/7bQA,5
2023-05-25,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3
2023-05-29,Project X,2012,https://boxd.it/neO,3
2023-06-09,The Big Lebowski,1998,https://boxd.it/2b6C,5
2023-06-13,High Fidelity,2000,https://boxd.it/2aMW,5
2023-06-13,Donnie Darko,2001,https://boxd.it/2b2A,5
2023-06-13,Deadpool,2016,https://boxd.it/9fOC,3.5
2023-06-24,Brüno,2009,https://boxd.it/1GSA,5
2023-06-27,Spider-Man,2002,https://boxd.it/2a8i,4
2023-06-27,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2023-06-28,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,5
2023-06-28,John Wick,2014,https://boxd.it/7dEc,3.5
2023-06-28,Spider-Man 3,2007,https://boxd.it/2a7Y,3
2023-06-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-07-01,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,4
2023-07-12,Tom Segura: Sledgehammer,2023,https://boxd.it/H6E2,3
2023-07-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-07-20,Iron Man,2008,https://boxd.it/28dA,3.5
2023-07-24,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-07-25,Freaky Friday,2003,https://boxd.it/1WwK,5
2023-08-03,Roadrunner: A Film About Anthony Bourdain,2021,https://boxd.it/nRb2,4.5
2023-08-04,American Hustle,2013,https://boxd.it/5dz8,3
2023-08-10,Ex Machina,2015,https://boxd.it/7T2k,4
2023-08-15,Happiness for Beginners,2023,https://boxd.it/xflo,2
2023-08-15,Funny People,2009,https://boxd.it/1CRy,2.5
2023-08-16,28 Days,2000,https://boxd.it/1WbM,4
2023-08-18,This Is Where I Leave You,2014,https://boxd.it/73kQ,2
2023-08-18,The Imitation Game,2014,https://boxd.it/6aig,3
2023-08-26,Silver Linings Playbook,2012,https://boxd.it/2TTo,5
